Season,Winner,Runner-up
2008,Rajasthan Royals,Chennai Super Kings
2009,Deccan Chargers,Royal Challengers Bangalore
2010,Chennai Super Kings,Mumbai Indians
2011,Chennai Super Kings,Royal Challengers Bangalore
2012,Kolkata Knight Riders,Chennai Super Kings
2013,Mumbai Indians,Chennai Super Kings
2014,Kolkata Knight Riders,Kings XI Punjab
2015,Mumbai Indians,Chennai Super Kings
2016,Sunrisers Hyderabad,Royal Challengers Bangalore
2017,Mumbai Indians,Rising Pune Supergiant
2018,Chennai Super Kings,Sunrisers Hyderabad178/6 (20 overs)
2019,Mumbai Indians,Chennai Super Kings
2020,Mumbai Indians,Delhi Capitals
2021,Chennai Super Kings,Kolkata Knight Riders
